file_path,evaluator,evaluator_type,timestamp,num_scenarios,model_name,model_type,model_family,seed,checkpoint,average_combined_score,average_ahimsa_score,average_dharma_score,average_helpfulness_score,average_clarity_score,average_relevance_score,average_completeness_score,ahimsa_violation_rate,dharma_violation_rate,helpfulness_violation_rate,ahimsa_violations,dharma_violations,helpfulness_violations
../../claude-runs/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-15T19:49:13.289623,100,meta-llama/Llama-3.2-1B-Instruct,baseline,baseline,baseline,baseline,0.6358649999999999,0.7722999999999998,0.5640000000000002,0.5952499999999997,0.6530000000000008,0.7529999999999997,0.517,0.06,0.34,0.11,6,34,11
../../claude-runs/eval_grpo_5_seed_1_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-16T10:40:59.745042,100,/home/kapil/checkpoints/grpo_5_seed_1,grpo5,argen,1,final,0.7631400000000003,0.7773333333333327,0.9371000000000004,0.5170000000000001,0.6150000000000004,0.6709999999999999,0.4489999999999998,0.05,0.05,0.41,5,5,41
../../claude-runs/eval_grpo_5_seed_1_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-16T10:56:42.888923,100,/home/kapil/checkpoints/grpo_5_seed_1/checkpoint-1000,grpo5,argen,1,1000,0.7439749999999999,0.8114166666666661,0.8235000000000002,0.5704999999999998,0.6570000000000006,0.7079999999999994,0.4970000000000001,0.01,0.14,0.27,1,14,27
../../claude-runs/eval_grpo_5_seed_1_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-16T11:10:59.944990,100,/home/kapil/checkpoints/grpo_5_seed_1/checkpoint-2000,grpo5,argen,1,2000,0.7620049999999999,0.794316666666666,0.8844000000000004,0.5665,0.6530000000000002,0.7049999999999997,0.49900000000000005,0.02,0.06,0.3,2,6,30
../../claude-runs/eval_grpo_5_seed_1_checkpoint-2600_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-16T11:24:40.077026,100,/home/kapil/checkpoints/grpo_5_seed_1/checkpoint-2600,grpo5,argen,1,2600,0.7690049999999999,0.7917499999999995,0.9312000000000004,0.5299999999999998,0.6270000000000003,0.6689999999999996,0.4640000000000001,0.02,0.05,0.39,2,5,39
../../claude-runs/eval_grpo_5_seed_1_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-16T11:39:53.897748,100,/home/kapil/checkpoints/grpo_5_seed_1/checkpoint-3000,grpo5,argen,1,3000,0.775215,0.7931666666666664,0.9331000000000002,0.54675,0.6340000000000002,0.6959999999999996,0.47499999999999987,0.02,0.05,0.34,2,5,34
../../claude-runs/eval_grpo_6_seed_2_4_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-15T16:30:57.556922,100,/home/kapil/checkpoints/grpo_6_seed_2_4,grpo6,argen,2,final,0.7946650000000003,0.8121666666666657,0.9641,0.5512500000000001,0.6560000000000002,0.71,0.4839999999999995,0.01,0.04,0.33,1,4,33
../../claude-runs/eval_grpo_6_seed_2_4_checkpoint-1000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-16T16:50:27.777326,100,/home/kapil/checkpoints/grpo_6_seed_2_4/checkpoint-1000,grpo6,argen,2,1000,0.7340849999999997,0.8031666666666664,0.7939000000000006,0.5852499999999999,0.6620000000000009,0.7249999999999998,0.5069999999999999,0.03,0.15,0.18,3,15,18
../../claude-runs/eval_grpo_6_seed_2_4_checkpoint-2000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-16T17:05:11.603287,100,/home/kapil/checkpoints/grpo_6_seed_2_4/checkpoint-2000,grpo6,argen,2,2000,0.7883950000000002,0.8166666666666659,0.9293,0.5722499999999999,0.6580000000000006,0.7239999999999998,0.5089999999999997,0.01,0.06,0.31,1,6,31
../../claude-runs/eval_grpo_6_seed_2_4_checkpoint-3000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-16T17:19:41.589166,100,/home/kapil/checkpoints/grpo_6_seed_2_4/checkpoint-3000,grpo6,argen,2,3000,0.787385,0.8028333333333327,0.9544,0.5492499999999999,0.649,0.6979999999999998,0.47299999999999975,0.02,0.03,0.38,2,3,38
../../claude-runs/eval_grpo_6_seed_2_4_checkpoint-4000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-16T17:32:52.902241,100,/home/kapil/checkpoints/grpo_6_seed_2_4/checkpoint-4000,grpo6,argen,2,4000,0.79069,0.7925166666666656,0.9749000000000001,0.5432499999999999,0.6520000000000001,0.696,0.4749999999999998,0.02,0.01,0.37,2,1,37
../../claude-runs/eval_grpo_7_seed_3_3_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-15T17:37:52.783465,100,/home/kapil/checkpoints/grpo_7_seed_3_3,grpo7,argen,3,final,0.7803100000000002,0.7938333333333323,0.9519000000000001,0.5380000000000003,0.6270000000000001,0.6920000000000002,0.4699999999999998,0.04,0.04,0.4,4,4,40
../../claude-runs/eval_grpo_7_seed_3_3_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-15T17:55:10.027333,100,/home/kapil/checkpoints/grpo_7_seed_3_3/checkpoint-1000,grpo7,argen,3,1000,0.764715,0.8272333333333328,0.8453000000000003,0.5947499999999999,0.6660000000000004,0.7269999999999999,0.5120000000000003,0.01,0.1,0.21,1,10,21
../../claude-runs/eval_grpo_7_seed_3_3_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-15T18:09:33.178059,100,/home/kapil/checkpoints/grpo_7_seed_3_3/checkpoint-2000,grpo7,argen,3,2000,0.7800449999999999,0.8066666666666662,0.9043000000000002,0.5877499999999998,0.665,0.7099999999999997,0.5139999999999999,0.02,0.05,0.26,2,5,26
../../claude-runs/eval_grpo_7_seed_3_3_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-15T18:23:37.241769,100,/home/kapil/checkpoints/grpo_7_seed_3_3/checkpoint-3000,grpo7,argen,3,3000,0.7825450000000004,0.8039166666666655,0.9353000000000001,0.5574999999999999,0.6530000000000004,0.7009999999999998,0.47899999999999976,0.03,0.06,0.4,3,6,40
../../claude-runs/eval_grpo_7_seed_3_3_checkpoint-4000_benchmarking_20250510_135534-cleanprep-hashprompt.json,anthropic (claude-3-5-sonnet),claude,2025-06-15T18:29:39.116505,100,/home/kapil/checkpoints/grpo_7_seed_3_3/checkpoint-4000,grpo7,argen,3,4000,0.7815100000000003,0.8001666666666658,0.9433999999999999,0.5469999999999999,0.6360000000000003,0.6999999999999998,0.4779999999999998,0.03,0.06,0.38,3,6,38
